Title,熱中症特別警戒情報・熱中症警戒情報,,,,,,,,,
Encoding,UTF-8,,,,,,,,,
TimeZone,+09:00,,,,,,,,,
CreateDate,2025/08/31,,,,,,,,,
CreateTime,04:30:02,,,,,,,,,
PublishingOffice,環境省,,,,,,,,,
ReportDate,2025/08/31,,,,,,,,,
ReportTime,05:00:00,,,,,,,,,
TargetDate1,2025/08/31,,,,,,,,,
TargetTime1,05:00:00,,,,,,,,,
DurationTime1,19:00:00,,,,,,,,,
TargetDate2,2025/09/01,,,,,,,,,
TargetTime2,00:00:00,,,,,,,,,
DurationTime2,24:00:00,,,,,,,,,
BriefComment1,自分と自分の周りの人の命を守ってください,,,,,,,,,
BriefComment2,暑さから、自分の身を守りましょう,,,,,,,,,
KeyMessage1,熱中症特別警戒情報発表対象地域の皆様へ：○広域的に過去に例のない危険な暑さ等となり、人の健康に係る重大な被害が生じるおそれがあります！！○自分の身を守るだけでなく、危険な暑さから自分と自分の周りの人の命を守ってください！！・具体的には、全ての方が自ら涼しい環境で過ごすとともに、高齢者、乳幼児等の熱中症にかかりやすい方の周りの方は、熱中症にかかりやすい方が室内等のエアコン等により涼しい環境で過ごせているか確認してください。・また、校長や経営者、イベント主催者等の管理者は、全ての人が熱中症対策を徹底できているか確認し、徹底できていない場合は、運動、外出、イベント等の中止、延期、変更（リモートワークへの変更を含む。）等を判断してください。○今まで普段心掛けていただいている熱中症予防行動と同様の対応では不十分な可能性がありますので、今一度気を引き締めていただいた上で、準備や対応が必要です。,,,,,,,,,
KeyMessage2,熱中症警戒情報対象地域の皆様へ：○熱中症警戒アラートが発表された地域において、気温が著しく高くなることにより熱中症による人の健康に係る被害が生ずるおそれがあるので、他人事と考えず、暑さから、自分の身を守りましょう！！○まずは、室内等のエアコン等により涼しい環境にて過ごしましょう。○その上で、こまめな休憩や水分補給・塩分補給をしましょう。○高齢者、乳幼児等の方は熱中症にかかりやすいので特に注意し、周囲の方も声かけをしましょう。○皆で、身近な場所での暑さ指数（WBGT）を確認し、涼しい環境以外では、運動等を中止しましょう（皆で熱中症対策を積極的に取りやすい環境づくりをしましょう。）！！,,,,,,,,,
KeyMessage3,,,,,,,,,,
FlagExplanation,発表無し:0、熱中症警戒情報発表:1、熱中症特別警戒情報判定:2、熱中症特別警戒情報発表:3、発表時間外:9,,,,,,,,,
Status,通常,,,,,,,,,
InternalFlag,0000000000,,,,,,,,,
府県予報区,都府県・振興局表示番号,都府県・振興局表示番号サブ,府県予報区等コード,都道府県名,都道府県コード,TargetDate1フラグ,TargetDate2フラグ,日最高WBGT（10:00）,日最高WBGT（17:00）,日最高WBGT（5:00）
宗谷地方,11,0,011000,北海道,01,0,9,宗谷岬:24/稚内:24/礼文:25/浜鬼志別:25/沼川:24/沓形:25/豊富:25/浜頓別:26/中頓別:25/北見枝幸:25/歌登:25,宗谷岬:24/稚内:24/礼文:25/浜鬼志別:25/沼川:24/沓形:25/豊富:24/浜頓別:26/中頓別:25/北見枝幸:25/歌登:25,宗谷岬:24/稚内:24/礼文:24/浜鬼志別:25/沼川:24/沓形:25/豊富:25/浜頓別:26/中頓別:26/北見枝幸:25/歌登:26
上川・留萌地方,12,0,012000,北海道,01,0,9,中川:25/音威子府:26/美深:24/名寄:24/下川:24/士別:24/朝日:24/和寒:24/江丹別:24/比布:24/上川:22/旭川:24/東川:23/志比内:24/美瑛:24/上富良野:25/富良野:24/麓郷:23/幾寅:24/占冠:24/朱鞠内:25/幌加内:24/天塩:25/遠別:25/初山別:25/焼尻:24/羽幌:26/達布:26/留萌:25/増毛:25/幌糠:25,中川:25/音威子府:26/美深:24/名寄:25/下川:24/士別:24/朝日:24/和寒:24/江丹別:24/比布:24/上川:22/旭川:24/東川:24/志比内:23/美瑛:24/上富良野:25/富良野:24/麓郷:23/幾寅:23/占冠:23/朱鞠内:25/幌加内:24/天塩:25/遠別:25/初山別:25/焼尻:24/羽幌:25/達布:25/留萌:25/増毛:26/幌糠:25,中川:26/音威子府:26/美深:24/名寄:24/下川:24/士別:24/朝日:24/和寒:24/江丹別:23/比布:24/上川:22/旭川:24/東川:24/志比内:24/美瑛:24/上富良野:25/富良野:23/麓郷:23/幾寅:23/占冠:22/朱鞠内:25/幌加内:23/天塩:25/遠別:25/初山別:25/焼尻:24/羽幌:25/達布:25/留萌:25/増毛:25/幌糠:24
石狩・空知・後志地方,14,0,016000,北海道,01,0,9,浜益:25/厚田:25/新篠津:24/山口:26/石狩:24/江別:24/札幌:24/恵庭島松:24/支笏湖畔:22/石狩沼田:25/秩父別:25/深川:23/空知吉野:23/滝川:24/芦別:24/月形:25/美唄:24/岩見沢:24/長沼:25/夕張:23/美国:24/神恵内:25/余市:24/小樽:25/共和:25/蘭越:24/倶知安:24/寿都:24/真狩:22/喜茂別:23/黒松内:24,浜益:26/厚田:25/新篠津:24/山口:26/石狩:24/江別:25/札幌:25/恵庭島松:25/支笏湖畔:22/石狩沼田:25/秩父別:24/深川:24/空知吉野:24/滝川:24/芦別:24/月形:25/美唄:24/岩見沢:24/長沼:26/夕張:23/美国:24/神恵内:25/余市:25/小樽:25/共和:25/蘭越:24/倶知安:24/寿都:24/真狩:22/喜茂別:24/黒松内:25,浜益:24/厚田:25/新篠津:24/山口:25/石狩:24/江別:24/札幌:24/恵庭島松:24/支笏湖畔:21/石狩沼田:25/秩父別:24/深川:23/空知吉野:23/滝川:24/芦別:24/月形:24/美唄:24/岩見沢:25/長沼:25/夕張:23/美国:23/神恵内:25/余市:24/小樽:25/共和:25/蘭越:24/倶知安:23/寿都:24/真狩:22/喜茂別:24/黒松内:24
網走・北見・紋別地方,17,0,013000,北海道,01,0,9,雄武:26/興部:24/西興部:24/紋別:24/湧別:24/滝上:24/常呂:24/遠軽:24/佐呂間:23/網走:24/宇登呂:24/白滝:22/生田原:23/北見:23/小清水:24/斜里:25/留辺蘂:22/境野:23/美幌:24/津別:23,雄武:25/興部:24/西興部:24/紋別:24/湧別:24/滝上:24/常呂:24/遠軽:24/佐呂間:23/網走:24/宇登呂:24/白滝:22/生田原:23/北見:23/小清水:24/斜里:25/留辺蘂:22/境野:22/美幌:24/津別:23,雄武:24/興部:24/西興部:24/紋別:25/湧別:24/滝上:24/常呂:24/遠軽:24/佐呂間:24/網走:24/宇登呂:24/白滝:22/生田原:23/北見:23/小清水:24/斜里:26/留辺蘂:22/境野:23/美幌:23/津別:23
釧路・根室地方,18,0,014100,北海道,01,0,9,羅臼:20/標津:22/上標津:22/中標津:21/別海:22/根室:19/納沙布:21/厚床:22/川湯:23/弟子屈:21/阿寒湖畔:22/標茶:22/鶴居:22/中徹別:23/榊町:20/太田:21/白糠:21/釧路:21/知方学:19,羅臼:21/標津:22/上標津:21/中標津:21/別海:22/根室:19/納沙布:21/厚床:22/川湯:23/弟子屈:21/阿寒湖畔:22/標茶:22/鶴居:22/中徹別:22/榊町:19/太田:20/白糠:21/釧路:20/知方学:19,羅臼:20/標津:21/上標津:22/中標津:21/別海:22/根室:19/納沙布:20/厚床:21/川湯:23/弟子屈:22/阿寒湖畔:22/標茶:22/鶴居:22/中徹別:23/榊町:18/太田:21/白糠:22/釧路:20/知方学:17
十勝地方,20,0,014030,北海道,01,0,9,陸別:23/ぬかびら源泉郷:22/上士幌:22/足寄:23/本別:23/新得:24/鹿追:23/駒場:23/芽室:23/帯広:24/池田:24/浦幌:24/糠内:24/上札内:22/更別:22/大津:22/大樹:22/広尾:23,陸別:22/ぬかびら源泉郷:21/上士幌:22/足寄:23/本別:23/新得:23/鹿追:23/駒場:23/芽室:23/帯広:24/池田:24/浦幌:24/糠内:23/上札内:22/更別:22/大津:22/大樹:22/広尾:22,陸別:22/ぬかびら源泉郷:21/上士幌:23/足寄:23/本別:23/新得:24/鹿追:24/駒場:24/芽室:23/帯広:24/池田:25/浦幌:24/糠内:24/上札内:23/更別:23/大津:22/大樹:22/広尾:21
胆振・日高地方,21,0,015000,北海道,01,0,9,厚真:25/穂別:26/大滝:24/森野:24/苫小牧:25/大岸:25/白老:24/鵡川:25/伊達:25/登別:24/室蘭:25/日高:24/日高門別:25/新和:26/静内:26/三石:25/中杵臼:25/浦河:24/えりも岬:23,厚真:25/穂別:25/大滝:23/森野:23/苫小牧:24/大岸:25/白老:23/鵡川:25/伊達:25/登別:24/室蘭:25/日高:24/日高門別:25/新和:25/静内:26/三石:25/中杵臼:25/浦河:25/えりも岬:24,厚真:25/穂別:25/大滝:23/森野:23/苫小牧:24/大岸:25/白老:23/鵡川:25/伊達:25/登別:24/室蘭:24/日高:24/日高門別:25/新和:25/静内:25/三石:25/中杵臼:25/浦河:24/えりも岬:23
渡島・檜山地方,23,0,017000,北海道,01,0,9,長万部:25/八雲:24/森:24/川汲:23/北斗:26/函館:26/木古内:24/松前:27/熊石:25/せたな:25/今金:25/奥尻:24/鶉:26/江差:25,長万部:25/八雲:25/森:24/川汲:23/北斗:25/函館:26/木古内:25/松前:27/熊石:25/せたな:25/今金:26/奥尻:25/鶉:25/江差:26,長万部:25/八雲:24/森:24/川汲:24/北斗:25/函館:26/木古内:25/松前:26/熊石:25/せたな:25/今金:26/奥尻:24/鶉:26/江差:26
青森県,31,0,020000,青森,02,0,9,大間:26/むつ:26/小田野沢:26/今別:28/脇野沢:27/市浦:28/蟹田:27/五所川原:28/青森:28/野辺地:27/六ケ所:27/鰺ケ沢:27/深浦:27/弘前:28/黒石:27/酸ケ湯:22/三沢:27/十和田:27/八戸:28/碇ケ関:26/休屋:26/三戸:28,大間:26/むつ:26/小田野沢:26/今別:27/脇野沢:27/市浦:27/蟹田:27/五所川原:28/青森:27/野辺地:26/六ケ所:26/鰺ケ沢:27/深浦:27/弘前:28/黒石:26/酸ケ湯:22/三沢:26/十和田:26/八戸:26/碇ケ関:26/休屋:25/三戸:28,大間:27/むつ:26/小田野沢:26/今別:25/脇野沢:27/市浦:27/蟹田:26/五所川原:28/青森:26/野辺地:26/六ケ所:26/鰺ケ沢:26/深浦:26/弘前:27/黒石:26/酸ケ湯:22/三沢:27/十和田:27/八戸:27/碇ケ関:26/休屋:25/三戸:27
秋田県,32,0,050000,秋田,05,0,9,八森:28/能代:28/鷹巣:28/大館:29/鹿角:27/湯瀬:27/八幡平:25/男鹿:29/大潟:30/五城目:28/阿仁合:28/秋田:29/岩見三内:28/角館:28/田沢湖:28/大正寺:28/大曲:28/本荘:28/東由利:29/横手:29/にかほ:29/矢島:29/湯沢:28/湯の岱:29,八森:27/能代:28/鷹巣:28/大館:28/鹿角:26/湯瀬:27/八幡平:25/男鹿:28/大潟:29/五城目:28/阿仁合:27/秋田:29/岩見三内:28/角館:28/田沢湖:28/大正寺:28/大曲:28/本荘:29/東由利:30/横手:30/にかほ:28/矢島:29/湯沢:28/湯の岱:28,八森:26/能代:28/鷹巣:27/大館:27/鹿角:26/湯瀬:26/八幡平:25/男鹿:28/大潟:29/五城目:27/阿仁合:27/秋田:28/岩見三内:27/角館:28/田沢湖:27/大正寺:27/大曲:27/本荘:28/東由利:29/横手:28/にかほ:28/矢島:28/湯沢:27/湯の岱:28
